GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
4109800,160,41,,,,,,Burns city,2806,1490,3064,1487,2806,3064
4110100,160,41,,,,,,Butteville CDP,265,111,293,113,265,293
4110750,160,41,,,,,,Canby city,15829,5890,12790,4743,15829,12790
4110950,160,41,,,,,,Canyon City town,703,355,669,294,703,669
4111150,160,41,,,,,,Carlton city,2007,769,1514,578,2007,1514
4111900,160,41,,,,,,Cayuse CDP,68,22,59,22,68,59
4112800,160,41,,,,,,Chenoweth CDP,1855,752,3412,1387,1855,3412
4113050,160,41,,,,,,Chiloquin city,734,356,716,290,734,716
4114400,160,41,,,,,,Coburg city,1035,415,969,387,1035,969
4115250,160,41,,,,,,Coos Bay city,15967,7542,15374,7094,15967,15374
4115550,160,41,,,,,,Cornelius city,11869,3499,9652,3003,11869,9652
4116950,160,41,,,,,,Creswell city,5031,2023,3579,1343,5031,3579
4117300,160,41,,,,,,Culver city,1357,482,802,275,1357,802
4118250,160,41,,,,,,Dayton city,2534,843,2119,656,2534,2119
4120100,160,41,,,,,,Donald city,979,372,608,236,979,608
4120900,160,41,,,,,,Dufur city,604,263,588,265,604,588
4122200,160,41,,,,,,Echo city,699,256,650,252,699,650
4122800,160,41,,,,,,Elkton city,195,110,147,82,195,147
4123500,160,41,,,,,,Enterprise city,1940,965,1895,952,1940,1895
4123550,160,41,,,,,,Eola CDP,45,28,49,36,45,49
4123800,160,41,,,,,,Estacada city,2695,1155,2371,886,2695,2371
4123850,160,41,,,,,,Eugene city,156185,69951,137893,61444,156185,137893
4124250,160,41,,,,,,Fairview city,8920,3786,7561,3116,8920,7561
4128100,160,41,,,,,,Gaston city,637,251,600,204,637,600
4129950,160,41,,,,,,Gold Hill city,1220,552,1073,446,1220,1073
4130165,160,41,,,,,,Gopher Flats CDP,379,170,401,166,379,401
4130750,160,41,,,,,,Green CDP,7515,2979,6174,2350,7515,6174
4131600,160,41,,,,,,Haines city,416,201,426,207,416,426
4135700,160,41,,,,,,Huntington city,440,272,515,301,440,515
4135800,160,41,,,,,,Idanha city,134,86,232,116,134,232
4138000,160,41,,,,,,Junction City city,5392,2323,4721,1921,5392,4721
4139566,160,41,,,,,,Kirkpatrick CDP,179,64,172,57,179,172
4141050,160,41,,,,,,La Pine city,1653,942,5799,2975,1653,5799
4141650,160,41,,,,,,Lebanon city,15518,6820,12950,5457,15518,12950
4142200,160,41,,,,,,Lexington town,238,101,263,111,238,263
4142550,160,41,,,,,,Lincoln Beach CDP,2045,2391,2078,2198,2045,2078
4144050,160,41,,,,,,Lowell city,1045,436,857,342,1045,857
4144300,160,41,,,,,,Lyons city,1161,475,1008,395,1161,1008
4145000,160,41,,,,,,McMinnville city,32187,12389,26499,9834,32187,26499
4145700,160,41,,,,,,Manzanita city,598,1285,564,1078,598,564
4150000,160,41,,,,,,Moro city,324,163,337,150,324,337
4150050,160,41,,,,,,Mosier city,433,250,410,191,433,410
4150150,160,41,,,,,,Mount Angel city,3286,1282,3121,1124,3286,3121
4151050,160,41,,,,,,Myrtle Point city,2514,1129,2451,1110,2514,2451
4152000,160,41,,,,,,Neskowin CDP,134,464,169,408,134,169
4152100,160,41,,,,,,Newberg city,22068,8265,18064,6435,22068,18064
4153150,160,41,,,,,,North Plains city,1947,749,1605,633,1947,1605
4153750,160,41,,,,,,Nyssa city,3267,1153,3163,1099,3267,3163
